Category,City,CustomerName,Discount,OrderID,PostalCode,ProductName,Profit,Quantity,Region,Sales,Segment,ShipMode,State,Sub_Category,SalesForecast,ShipStatus,OrderProfitable,SalesperCustomer,ProfitRatio,SalesaboveTarget,latitude,longitude,IsShippingDelayed,DaysBetweenOrderAndShip,MonthsBetweenOrderAndShip,OrderYear,OrderMonth,OrderDay,ShipYear,ShipMonth,ShipDay,ProductID,CustomerID,ShipID,LocationID,DateKey
Office Supplies,Scottsdale,Toby Swindell,0.2,CA-2011-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",20,4,West,56,Consumer,First Class,Arizona,Paper,73,Shipped On Time,Yes,56.06,35.0,17.0,33.6165,-111.9554,No,1,0,2011,1,20,2011,1,21,1514,755,555,543,2011-01-20
Office Supplies,Scottsdale,Toby Swindell,0.2,CA-2011-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",37,5,West,109,Consumer,First Class,Arizona,Envelopes,142,Shipped On Time,Yes,108.72,33.8,33.0,33.6165,-111.9554,No,1,0,2011,1,20,2011,1,21,1571,755,555,543,2011-01-20
Furniture,Jonesboro,Hunter Lopez,0.0,US-2011-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",12,4,South,39,Consumer,Standard Class,Arkansas,Furnishings,51,Shipped On Time,Yes,38.6,30.0,12.0,35.833,-90.6965,No,6,0,2011,1,21,2011,1,27,561,335,4300,266,2011-01-21
Furniture,Jonesboro,Hunter Lopez,0.0,US-2011-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,224,3,South,1068,Consumer,Standard Class,Arkansas,Chairs,1399,Shipped On Time,Yes,1067.94,21.0,331.0,35.833,-90.6965,No,6,0,2011,1,21,2011,1,27,830,335,4300,266,2011-01-21
Furniture,Los Angeles,Mark Van Huff,0.0,CA-2011-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",6,2,West,19,Consumer,Standard Class,California,Furnishings,25,Shipped Early,Yes,19.3,30.0,6.0,34.066,-118.474,No,5,0,2011,1,21,2011,1,26,561,498,578,327,2011-01-21
Furniture,Westland,Xylona Preis,0.0,CA-2011-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,30,3,Central,273,Consumer,Standard Class,Michigan,Furnishings,358,Shipped On Time,Yes,272.94,11.0,85.0,42.3358,-83.3846,No,6,0,2011,1,21,2011,1,27,556,789,782,615,2011-01-21
Furniture,Westland,Xylona Preis,0.0,CA-2011-167927,48185,Ultra Door Push Plate,5,3,Central,15,Consumer,Standard Class,Michigan,Furnishings,19,Shipped On Time,Yes,14.73,33.0,4.0,42.3358,-83.3846,No,6,0,2011,1,21,2011,1,27,1577,789,782,615,2011-01-21
Office Supplies,Jonesboro,Hunter Lopez,0.0,US-2011-147627,72401,Newell 327,2,3,South,7,Consumer,Standard Class,Arkansas,Art,9,Shipped On Time,Yes,6.63,27.0,2.0,35.833,-90.6965,No,6,0,2011,1,21,2011,1,27,1131,335,4300,266,2011-01-21
Office Supplies,Jonesboro,Hunter Lopez,0.0,US-2011-147627,72401,Newell 351,7,7,South,23,Consumer,Standard Class,Arkansas,Art,30,Shipped On Time,Yes,22.96,29.0,7.0,35.833,-90.6965,No,6,0,2011,1,21,2011,1,27,1158,335,4300,266,2011-01-21
Office Supplies,Jonesboro,Hunter Lopez,0.0,US-2011-147627,72401,Staples,11,3,South,23,Consumer,Standard Class,Arkansas,Envelopes,31,Shipped On Time,Yes,23.34,47.0,8.0,35.833,-90.6965,No,6,0,2011,1,21,2011,1,27,1490,335,4300,266,2011-01-21
Office Supplies,Los Angeles,Mark Van Huff,0.0,CA-2011-148614,90049,"Wirebound Service Call Books, 5 1/2 x 4",9,2,West,19,Consumer,Standard Class,California,Paper,25,Shipped Early,Yes,19.36,48.0,6.0,34.066,-118.474,No,5,0,2011,1,21,2011,1,26,1646,498,578,327,2011-01-21
Office Supplies,Smyrna,Muhammed MacIntyre,0.7,US-2011-147774,37167,GBC DocuBind TL200 Manual Binding Machine,-52,1,South,67,Corporate,Standard Class,Tennessee,Binders,88,Shipped On Time,No,67.19,-76.7,21.0,35.9656,-86.5048,No,6,0,2011,1,21,2011,1,27,683,551,4303,553,2011-01-21
Office Supplies,Westland,Xylona Preis,0.0,CA-2011-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2 x 11, Executive Red",9,5,Central,19,Consumer,Standard Class,Michigan,Binders,25,Shipped On Time,Yes,19.05,47.0,6.0,42.3358,-83.3846,No,6,0,2011,1,21,2011,1,27,74,789,782,615,2011-01-21
Office Supplies,Westland,Xylona Preis,0.0,CA-2011-167927,48185,Eldon Fold N Roll Cart System,4,1,Central,14,Consumer,Standard Class,Michigan,Storage,18,Shipped On Time,Yes,13.98,29.0,4.0,42.3358,-83.3846,No,6,0,2011,1,21,2011,1,27,570,789,782,615,2011-01-21
Office Supplies,Westland,Xylona Preis,0.0,CA-2011-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,16,2,Central,67,Consumer,Standard Class,Michigan,Storage,87,Shipped On Time,Yes,66.58,24.0,20.0,42.3358,-83.3846,No,6,0,2011,1,21,2011,1,27,634,789,782,615,2011-01-21
Office Supplies,Westland,Xylona Preis,0.1,CA-2011-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",94,4,Central,248,Consumer,Standard Class,Michigan,Appliances,325,Shipped On Time,Yes,247.72,37.8,77.0,42.3358,-83.3846,No,6,0,2011,1,21,2011,1,27,819,789,782,615,2011-01-21
Office Supplies,Westland,Xylona Preis,0.0,CA-2011-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,13,3,Central,44,Consumer,Standard Class,Michigan,Art,58,Shipped On Time,Yes,43.92,29.0,14.0,42.3358,-83.3846,No,6,0,2011,1,21,2011,1,27,1229,789,782,615,2011-01-21
Office Supplies,Westland,Xylona Preis,0.0,CA-2011-167927,48185,Storex Dura Pro Binders,13,5,Central,30,Consumer,Standard Class,Michigan,Binders,39,Shipped On Time,Yes,29.7,45.0,9.0,42.3358,-83.3846,No,6,0,2011,1,21,2011,1,27,1501,789,782,615,2011-01-21
Technology,Jonesboro,Hunter Lopez,0.0,US-2011-147627,72401,Apple iPhone 5C,182,7,South,700,Consumer,Standard Class,Arkansas,Phones,917,Shipped On Time,Yes,699.93,26.0,217.0,35.833,-90.6965,No,6,0,2011,1,21,2011,1,27,155,335,4300,266,2011-01-21
Furniture,Miami,Tom Boeckenhauer,0.2,CA-2011-110422,33180,Ultra Door Pull Handle,4,3,South,25,Consumer,Second Class,Florida,Furnishings,33,Shipped Early,Yes,25.25,16.3,8.0,25.9597,-80.1403,No,2,0,2011,1,22,2011,1,24,1576,759,139,360,2011-01-22
Office Supplies,Lafayette,Speros Goranitis,0.0,CA-2011-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",0,3,Central,6,Consumer,Standard Class,Indiana,Fasteners,8,Shipped Early,No,5.94,0.0,2.0,40.4001,-86.8602,No,4,0,2011,1,24,2011,1,28,130,706,565,281,2011-01-24
Office Supplies,Las Vegas,Ionia McGrath,0.0,CA-2011-102645,89115,Xerox 195,19,6,West,40,Consumer,Standard Class,Nevada,Paper,53,Shipped Early,Yes,40.08,48.0,13.0,36.2158,-115.0671,No,5,0,2011,1,24,2011,1,29,1729,336,34,298,2011-01-24
Furniture,Alexandria,Shirley Daniels,0.0,US-2011-155502,22304,Eldon Image Series Black Desk Accessories,4,3,South,12,Home Office,Standard Class,Virginia,Furnishings,16,Shipped Early,Yes,12.42,36.0,4.0,38.8149,-77.121,No,5,1,2011,1,27,2011,2,1,572,698,4319,5,2011-01-27
Furniture,Alexandria,Shirley Daniels,0.0,US-2011-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",31,3,South,63,Home Office,Standard Class,Virginia,Furnishings,82,Shipped Early,Yes,62.82,49.0,19.0,38.8149,-77.121,No,5,1,2011,1,27,2011,2,1,727,698,4319,5,2011-01-27
Furniture,Rapid City,Carol Adams,0.0,CA-2011-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",40,2,Central,142,Corporate,First Class,South Dakota,Bookcases,186,Shipped Late,Yes,141.96,28.0,44.0,44.1415,-103.2052,Yes,3,0,2011,1,27,2011,1,30,1381,130,783,476,2011-01-27
Office Supplies,Alexandria,Shirley Daniels,0.0,US-2011-155502,22304,"Eureka Recycled Copy Paper 8 1/2 x 11, Ream",9,3,South,19,Home Office,Standard Class,Virginia,Paper,25,Shipped Early,Yes,19.44,48.0,6.0,38.8149,-77.121,No,5,1,2011,1,27,2011,2,1,605,698,4319,5,2011-01-27
Office Supplies,Alexandria,Shirley Daniels,0.0,US-2011-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11 X 8 1/2, 100 Messages",8,2,South,17,Home Office,Standard Class,Virginia,Paper,22,Shipped Early,Yes,16.68,50.0,5.0,38.8149,-77.121,No,5,1,2011,1,27,2011,2,1,1322,698,4319,5,2011-01-27
Office Supplies,Alexandria,Shirley Daniels,0.0,US-2011-155502,22304,"SAFCO Commercial Wire Shelving, 72h",0,8,South,490,Home Office,Standard Class,Virginia,Storage,642,Shipped Early,No,489.92,0.0,152.0,38.8149,-77.121,No,5,1,2011,1,27,2011,2,1,1362,698,4319,5,2011-01-27
Office Supplies,Rapid City,Carol Adams,0.0,CA-2011-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,5,2,Central,11,Corporate,First Class,South Dakota,Binders,14,Shipped Late,Yes,10.68,47.0,3.0,44.1415,-103.2052,Yes,3,0,2011,1,27,2011,1,30,1614,130,783,476,2011-01-27
Technology,Alexandria,Shirley Daniels,0.0,US-2011-155502,22304,Jabra SPEAK 410,53,2,South,188,Home Office,Standard Class,Virginia,Phones,246,Shipped Early,Yes,187.98,28.0,58.0,38.8149,-77.121,No,5,1,2011,1,27,2011,2,1,930,698,4319,5,2011-01-27
Technology,Alexandria,Shirley Daniels,0.0,US-2011-155502,22304,Macally Suction Cup Mount,0,13,South,155,Home Office,Standard Class,Virginia,Phones,204,Shipped Early,No,155.35,0.0,49.0,38.8149,-77.121,No,5,1,2011,1,27,2011,2,1,1035,698,4319,5,2011-01-27
Furniture,San Diego,Ed Jacobs,0.2,US-2011-117163,92037,Balt Split Level Computer Training Table,-17,3,West,333,Consumer,Standard Class,California,Tables,436,Shipped On Time,No,333.0,-5.0,103.0,32.8455,-117.2521,No,6,1,2011,1,28,2011,2,3,285,247,4235,526,2011-01-28
Office Supplies,San Diego,Ed Jacobs,0.0,US-2011-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,12,4,West,36,Consumer,Standard Class,California,Art,48,Shipped On Time,Yes,36.44,33.0,12.0,32.8455,-117.2521,No,6,1,2011,1,28,2011,2,3,527,247,4235,526,2011-01-28
Office Supplies,San Diego,Ed Jacobs,0.0,US-2011-117163,92037,Recycled Steel Personal File for Hanging File Folders,14,1,West,57,Consumer,Standard Class,California,Storage,75,Shipped On Time,Yes,57.23,25.0,18.0,32.8455,-117.2521,No,6,1,2011,1,28,2011,2,3,1335,247,4235,526,2011-01-28
Office Supplies,New York City,Jasper Cacioppo,0.2,CA-2011-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2 x 11, Light Blue",1,1,East,4,Consumer,Standard Class,New York,Binders,5,Shipped On Time,Yes,3.93,33.8,1.0,40.7864,-73.9764,No,6,1,2011,1,29,2011,2,4,1302,355,4,399,2011-01-29
Office Supplies,Detroit,Mike Vittorini,0.0,CA-2011-134103,48234,Space Solutions HD Industrial Steel Shelving.,7,2,Central,230,Consumer,Standard Class,Michigan,Storage,301,Shipped Early,Yes,229.94,3.0,71.0,42.4337,-83.0434,No,5,1,2011,1,31,2011,2,5,1473,545,428,150,2011-01-31
Office Supplies,Detroit,Mike Vittorini,0.0,CA-2011-134103,48234,Xerox 1972,5,2,Central,11,Consumer,Standard Class,Michigan,Paper,14,Shipped Early,Yes,10.56,45.0,3.0,42.4337,-83.0434,No,5,1,2011,1,31,2011,2,5,1753,545,428,150,2011-01-31
Furniture,Mission Viejo,Liz Carlisle,0.15,CA-2011-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",3,2,West,291,Consumer,First Class,California,Bookcases,381,Shipped Late,Yes,290.67,1.2,90.0,33.6128,-117.6622,Yes,2,0,2011,2,1,2011,2,3,1422,469,197,368,2011-02-01
Technology,Green Bay,Bradley Drucker,0.0,CA-2011-140795,54302,Enermax Aurora Lite Keyboard,206,6,Central,469,Consumer,First Class,Wisconsin,Accessories,614,Shipped Late,Yes,468.9,44.0,145.0,44.5025,-87.9771,Yes,2,0,2011,2,2,2011,2,4,598,100,496,215,2011-02-02
Office Supplies,Saint Petersburg,Eric Barreto,0.7,CA-2011-123400,33710,Surelock Post Binders,-12,2,South,18,Consumer,Standard Class,Florida,Binders,24,Shipped Late,No,18.34,-66.7,6.0,27.7898,-82.7243,Yes,7,0,2011,2,3,2011,2,10,1511,261,283,516,2011-02-03
Office Supplies,San Diego,Cynthia Delaney,0.0,CA-2011-139857,92037,Staples,6,5,West,12,Home Office,Standard Class,California,Fasteners,16,Shipped Early,Yes,12.35,47.0,4.0,32.8455,-117.2521,No,4,0,2011,2,3,2011,2,7,1490,185,483,526,2011-02-03
Technology,Saint Petersburg,Eric Barreto,0.2,CA-2011-123400,33710,AT&T 17929 Lendline Telephone,14,5,South,181,Consumer,Standard Class,Florida,Phones,237,Shipped Late,Yes,180.96,7.5,56.0,27.7898,-82.7243,Yes,7,0,2011,2,3,2011,2,10,38,261,283,516,2011-02-03
Office Supplies,Seattle,Tom Boeckenhauer,0.2,CA-2011-111059,98105,Avery Durable Poly Binders,4,3,West,13,Consumer,Second Class,Washington,Binders,17,Shipped On Time,Yes,13.27,32.5,4.0,47.6633,-122.3022,No,3,0,2011,2,4,2011,2,7,237,759,147,545,2011-02-04
Office Supplies,Seattle,Tom Boeckenhauer,0.2,CA-2011-111059,98105,Ibico Laser Imprintable Binding System Covers,27,2,West,84,Consumer,Second Class,Washington,Binders,110,Shipped On Time,Yes,83.84,32.5,26.0,47.6633,-122.3022,No,3,0,2011,2,4,2011,2,7,895,759,147,545,2011-02-04
